Time (min);Measure;Height;Distance
0;1;31,67;0
0;1;30,71;3
0;1;28,88;6
0;1;26,83;9
0;1;24,42;12
0;1;22,81;15
0;1;23,51;18
0;1;26,63;21
0;1;29,1;24
0;1;31,27;27
0;1;32,66;30
0;1;34,27;33
0;2;31,43;0
0;2;30,61;3
0;2;28,78;6
0;2;26,98;9
0;2;24,93;12
0;2;23,1;15
0;2;23,11;18
0;2;26,21;21
0;2;28,58;24
0;2;30,78;27
0;2;32,55;30
0;2;32,79;33
0;3;30,97;0
0;3;28,99;3
0;3;27,28;6
0;3;25,59;9
0;3;23,39;12
0;3;22,03;15
0;3;22,69;18
0;3;25,51;21
0;3;28,26;24
0;3;30,32;27
0;3;30,99;30
0;3;32,1;33
15;1;30,78;0
15;1;30,61;3
15;1;28,63;6
15;1;26,5;9
15;1;24,07;12
15;1;23,33;15
15;1;23,65;18
15;1;26,85;21
15;1;29,34;24
15;1;31,23;27
15;1;31,66;30
15;1;32,65;33
15;2;30,5;0
15;2;30,42;3
15;2;28,7;6
15;2;26,83;9
15;2;24,87;12
15;2;23,5;15
15;2;24,36;18
15;2;27,14;21
15;2;28,48;24
15;2;30,19;27
15;2;31;30
15;2;31,63;33
15;3;29,98;0
15;3;29,15;3
15;3;27,03;6
15;3;25,45;9
15;3;23,43;12
15;3;22,3;15
15;3;22,73;18
15;3;25,58;21
15;3;27,79;24
15;3;30,32;27
15;3;30,79;30
15;3;31,69;33
45;1;30,03;0
45;1;29,84;3
45;1;29,49;6
45;1;27,25;9
45;1;25,24;12
45;1;23,91;15
45;1;24,48;18
45;1;27,36;21
45;1;29,52;24
45;1;30,05;27
45;1;31,62;30
45;1;32,21;33
45;2;29,78;0
45;2;29,49;3
45;2;29,07;6
45;2;26,99;9
45;2;24,98;12
45;2;24,27;15
45;2;25,22;18
45;2;27,67;21
45;2;28,53;24
45;2;29,45;27
45;2;30,07;30
45;2;31,26;33
45;3;29,08;0
45;3;28,89;3
45;3;27,39;6
45;3;25,7;9
45;3;23,68;12
45;3;22,63;15
45;3;22,94;18
45;3;25,49;21
45;3;28,65;24
45;3;29,28;27
45;3;30,49;30
45;3;31,2;33
75;1;29,7;0
75;1;29,46;3
75;1;28,98;6
75;1;27,18;9
75;1;25,42;12
75;1;24,49;15
75;1;24,81;18
75;1;27,99;21
75;1;29,45;24
75;1;29,85;27
75;1;30,79;30
75;1;31,78;33
75;2;29,28;0
75;2;29,16;3
75;2;28,88;6
75;2;27,34;9
75;2;25,56;12
75;2;24,82;15
75;2;26,32;18
75;2;27,68;21
75;2;28,73;24
75;2;29,29;27
75;2;29,66;30
75;2;30,44;33
75;3;28,79;0
75;3;28,68;3
75;3;27,33;6
75;3;25,71;9
75;3;23,91;12
75;3;23,01;15
75;3;23,78;18
75;3;26,23;21
75;3;28,66;24
75;3;29,07;27
75;3;30,02;30
75;3;30,7;33
